"actseq"	"passeq"	"type"	"product"	"pp_ActiveMod"	"pp_PassiveMod"	"pp_NoProduct"	"pp_NewProduct"	"pp_Replicator"	"pp_SelfReplicator"	"pp_AutoReplicator"	"pp_Complex"	"pp_Jumper"	"bprob"	"nsteps"	"actlen"	"paslen"	"ccopy"	"cmove"	"cover"	"ctogg"	"oneway"	"nprod"	"dexec"	"dbind"	"nobs"	"np_MutualRepl"	"np_Parasite"	"np_Hypercycle"
"3"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$=$EZUB^B$=?>$ABO%}HOB"	"unknown"	"$=?>$=$EZUB^B$=?>$ABO%}HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.615258	173	27	26	53	51	27	1	FALSE	1	TRUE	FALSE	7	TRUE	FALSE	TRUE
"17"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0.581734	176	27	27	54	52	27	1	FALSE	1	TRUE	FALSE	245	FALSE	FALSE	FALSE
"26"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$RD"	"unknown"	"$=?>$RD"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.644995	116	27	7	34	32	27	1	FALSE	1	TRUE	FALSE	6	FALSE	TRUE	FALSE
"45"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?$DDBVB^A$=?Q"	"unknown"	"empty"	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0.69541	1001	27	15	12	330	12	1	TRUE	0	TRUE	TRUE	16	FALSE	FALSE	FALSE
"102"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?S$DB"	"unknown"	"$=?S$DB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.453302	116	27	7	34	32	27	1	FALSE	1	TRUE	FALSE	11	FALSE	TRUE	FALSE
"108"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$R$BVB^A$=?>$EAU"	"unknown"	"$=?>$R$BVB^A$=?>$EAU"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.644995	155	27	20	47	45	27	1	FALSE	1	TRUE	FALSE	2	FALSE	TRUE	FALSE
"110"	"$=?>$=?$EZUQB^B$=?>$ABO%}HOB"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.581734	180	28	27	55	53	28	1	FALSE	1	TRUE	FALSE	5	TRUE	FALSE	TRUE
"133"	"$=?>$=?$EZUB^B$=?>$ABP%}HO"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.581734	173	26	27	53	51	26	1	FALSE	1	TRUE	FALSE	1	TRUE	FALSE	TRUE
"151"	"$=?>$=$EZUB^B$=?>$ABO%}HOB"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.615258	173	26	27	53	51	26	1	FALSE	1	TRUE	FALSE	11	TRUE	FALSE	TRUE
"179"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$$$=?$DDBB$=?>$ABO%}HOB"	"unknown"	"$=?>$$$=?$DDBB$=?>$ABO%}HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.644995	176	27	27	54	52	27	1	FALSE	1	TRUE	FALSE	4	FALSE	TRUE	FALSE
"215"	"$=?>$DBB^A=?>$EAUB^B$=?Q$ZVBO%HOB$=?>$=?$EZUB^B$=?>$ABO%}HOB$=?>$=?$EZUB^B$=?>$ABO%}HOB$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB$=?>$=?$EZUB^B$=?>$ABO%}HOB$=?>$=?$EZUB^B$=?>$ABO%}HOB$=?>$=?$EZUB^B$=?>$ABO%}HOB"	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	0.581734	338	114	27	108	106	81	1	TRUE	1	TRUE	TRUE	1	FALSE	FALSE	FALSE
